10723;Форт Диалог;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10728;ИВС;14;20;24;28;25;20;20;23;21;22;29;60;33;34;57;36;34;44;48;38;52;53;51;63;32;44;58;39;42;30;38;42;45;46;54;60;30;34;51;48;46;41;88;72;59;87;93;145;110;114;98;111;89;112;128;102;120;167;128;171;93;97;119;126;109;109;112;99;111;121;98;155
10973;Окта Консалтинг (г. Тюмень);;;;;;;;;1;;;1;1;1;;5;2;;;2;2;3;4;2;;2;4;;1;2;5;3;1;;1;1;;1;3;4;13;3;7;3;3;3;11;10;3;5;5;;4;2;5;4;3;6;2;5;;4;6;2;1;;1;;1;5;4;2
11038;ООО ``Медиа-Маркт-Сатурн``;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;9;8;6;8;18;38;19;20;18;23;24;21;20;19;19;23;34;28
11063;ЛПКОМ (г. Сургут);;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;3;1;3;;;;;;;;1;;2;1;7
11361;Антивирусный центр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;
11590;КЛОСС;;1;1;2;;;3;2;1;;1;1;;1;2;1;3;1;3;1;;2;1;1;3;2;1;1;2;2;3;2;3;3;6;6;3;6;4;4;;3;4;2;4;2;2;4;2;1;2;2;;;1;;1;4;;;;;;;;;;;;;;
1972;КАТ Лтд (г.Тюмень);4;3;2;5;5;3;4;3;11;8;8;19;3;11;6;2;2;9;7;14;13;12;14;20;7;23;5;9;10;16;10;8;13;9;15;19;14;12;7;6;8;9;10;11;12;17;8;14;11;9;13;7;9;12;13;8;8;12;8;21;8;12;10;6;7;12;15;7;5;8;7;8
234;Смл-Цефея;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;1;1;3;;;1;;3;4;2;2;6;7;8;4;11;5;2;1;;;;;;;
25;Астра СТ;5;3;;7;2;1;;;;;;2;;1;;2;1;1;2;1;1;1;;5;3;1;1;1;;4;;4;2;1;6;5;2;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253;Клг-Эверест;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;9;7;1;2;8;5;2;2;1;1;4;4;4;6;1;2;;3;1;;;;;;;
2539;КАТАРСИС-дилер;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2884;Фабрика Бизнеса;1;1;1;1;1;1;2;1;1;1;1;2;2;1;2;2;1;1;2;2;1;4;2;1;4;2;3;4;3;8;5;4;1;2;4;2;1;2;4;2;1;1;1;;4;2;;4;;1;2;;;;;;;;;;;;;;;;;;;;;
3063;Техноцентр  (г. Сургут);;;;;;;;1;1;2;2;2;3;3;3;3;3;3;5;3;1;2;2;1;1;2;2;2;4;5;5;4;10;6;6;7;3;4;2;3;6;1;2;7;3;5;14;14;10;5;;15;5;6;;;;;4;15;5;8;9;10;;;;;;;;
327;Тул-ПитерСофт НТ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;1;;1;6;8;3;4;;;;;;1;5;8;2;4;3;;;;;;
3530;Техносерв А/С;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;1;1;;;1;;;;;;1;1;1;;;;;;;;1;2;1;;1;;;1;3;3
360;ООО ``АКМИ``;;;;;;;;;1;1;;;;;1;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3742;Компас Плюс;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;1;2;2;1;2;1;4;2;2;6;;;4;2;1;6;1;1;1;;;;1;;1;2;1;1;1;1;2;3;5;3;
4000170;Арко;1;1;;;1;;1;;2;2;;2;3;4;1;1;1;;3;2;2;1;1;;;;1;;1;1;;1;3;;1;3;2;4;2;;;;;;;4;;2;;;1;1;2;1;1;;;;;;;;;1;1;;;;;;;1
